name,street,city,state,zip,type,website,phone,source
1634 Funk,394 Communipaw Ave,Jersey City,NJ,7304.0,R,https://www.google.com/maps/dir/?api=1&destination=394%20Communipaw%20Ave%2C%20Jersey%20City%2C%20NJ%2007304%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
4Twenty Somewhere,1938 Union Valley Rd,Hewitt,NJ,7421.0,R,https://www.google.com/maps/dir/?api=1&destination=1938%20Union%20Valley%20Rd%2C%20Hewitt%2C%20NJ%2007421%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
A-Z Supply,1283 Broad St,Bloomfield,NJ,7003.0,R,https://www.google.com/maps/dir/?api=1&destination=1283%20Broad%20St%2C%20Bloomfield%2C%20NJ%2007003%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
A21 Wellness,2507 US-22,Scotch Plains,NJ,7076.0,R,https://www.google.com/maps/dir/?api=1&destination=2507%20US-22%2C%20Scotch%20Plains%2C%20NJ%2007076%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
AC Leef,470 N Albany Ave,Atlantic City,NJ,8401.0,R,https://www.google.com/maps/dir/?api=1&destination=470%20N%20Albany%20Ave%2C%20Atlantic%20City%2C%20NJ%2008401%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Altitude Cannabis,225 Atlantic City Blvd,Toms River,NJ,8757.0,R,https://www.google.com/maps/dir/?api=1&destination=225%20Atlantic%20City%20Blvd%2C%20Toms%20River%2C%20NJ%2008757%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Altius NJ,60 Delsea Dr N,Glassboro,NJ,8028.0,R,https://www.google.com/maps/dir/?api=1&destination=60%20Delsea%20Dr%20N%2C%20Glassboro%2C%20NJ%2008028%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Andover Cannabis,144-146 Main St,Andover,NJ,7821.0,R,https://www.google.com/maps/dir/?api=1&destination=144-146%20Main%20St%2C%20Andover%2C%20NJ%2007821%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Anja,225 Woodbridge Ave,Highland Park,NJ,8904.0,R,https://www.google.com/maps/dir/?api=1&destination=225%20Woodbridge%20Ave%2C%20Highland%20Park%2C%20NJ%2008904%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Aurum Botanics,6 Fort Dix Rd,Pemberton,NJ,8068.0,R,https://www.google.com/maps/dir/?api=1&destination=6%20Fort%20Dix%20Rd%2C%20Pemberton%2C%20NJ%2008068%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Baked by the River,8 Church St,Lambertville,NJ,8530.0,R,https://www.google.com/maps/dir/?api=1&destination=8%20Church%20St%2C%20Lambertville%2C%20NJ%2008530%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bakin’ Bad,2834 Atlantic Ave,Atlantic City,NJ,8401.0,R,https://www.google.com/maps/dir/?api=1&destination=2834%20Atlantic%20Ave%2C%20Atlantic%20City%2C%20NJ%2008401%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bay Street Greenery,150 Bay St,Jersey City,NJ,7302.0,R,https://www.google.com/maps/dir/?api=1&destination=150%20Bay%20St%2C%20Jersey%20City%2C%20NJ%2007302%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Benedict's Supply,3523 John F. Kennedy Blvd,Jersey City,NJ,7307.0,R,https://www.google.com/maps/dir/?api=1&destination=3523%20John%20F.%20Kennedy%20Blvd%2C%20Jersey%20City%2C%20NJ%2007307%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BestBuds,135 S Broad St,Woodbury,NJ,8096.0,R,https://www.google.com/maps/dir/?api=1&destination=135%20S%20Broad%20St%2C%20Woodbury%2C%20NJ%2008096%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
"Beyond Bleaf, LLC",753 Macopin Rd,West Milford,NJ,7480.0,R,https://www.google.com/maps/dir/?api=1&destination=753%20Macopin%20Rd%2C%20West%20Milford%2C%20NJ%2007480%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BLKBRN Cannabis Dispensary,176 Woodbridge Ave,Highland Park,NJ,8904.0,R,https://www.google.com/maps/dir/?api=1&destination=176%20Woodbridge%20Ave%2C%20Highland%20Park%2C%20NJ%2008904%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Blue Oak,1025 Broad St suite 2,Bloomfield,NJ,7003.0,R,https://www.google.com/maps/dir/?api=1&destination=1025%20Broad%20St%20suite%202%2C%20Bloomfield%2C%20NJ%2007003%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Blue Violets,628 Washington St,Hoboken,NJ,7030.0,R,https://www.google.com/maps/dir/?api=1&destination=628%20Washington%20St%2C%20Hoboken%2C%20NJ%2007030%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
BluLight Cannabis,890 Mantua Pike,Woodbury Heights,NJ,8097.0,R,https://www.google.com/maps/dir/?api=1&destination=890%20Mantua%20Pike%2C%20Woodbury%20Heights%2C%20NJ%2008097%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Boone Town Provisions,677 Myrtle Ave,Boonton,NJ,7005.0,R,https://www.google.com/maps/dir/?api=1&destination=677%20Myrtle%20Ave%2C%20Boonton%2C%20NJ%2007005%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Botera Harrison,701 Frank E Rodgers Blvd N,Harrison,NJ,7029.0,R,https://www.google.com/maps/dir/?api=1&destination=701%20Frank%20E%20Rodgers%20Blvd%20N%2C%20Harrison%2C%20NJ%2007029%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Botera Union,2290 US-22,Union,NJ,7083.0,R,https://www.google.com/maps/dir/?api=1&destination=2290%20US-22%2C%20Union%2C%20NJ%2007083%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bridge City Collective Dispensary,665 Hamilton St,Somerset,NJ,8873.0,R,https://www.google.com/maps/dir/?api=1&destination=665%20Hamilton%20St%2C%20Somerset%2C%20NJ%2008873%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Brotherly Bud Dispensary,500 N Black Horse Pike,Mt Ephraim,NJ,8059.0,R,https://www.google.com/maps/dir/?api=1&destination=500%20N%20Black%20Horse%20Pike%2C%20Mt%20Ephraim%2C%20NJ%2008059%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bud 2 Bloom,123 Ledgewood Ave #1a,Netcong,NJ,7857.0,R,https://www.google.com/maps/dir/?api=1&destination=123%20Ledgewood%20Ave%20%231a%2C%20Netcong%2C%20NJ%2007857%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Bud City NJ,117 Water St,Newton,NJ,7860.0,R,https://www.google.com/maps/dir/?api=1&destination=117%20Water%20St%2C%20Newton%2C%20NJ%2007860%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Budzooka Weed Dispensary,142 Broad St,Elizabeth,NJ,7201.0,R,https://www.google.com/maps/dir/?api=1&destination=142%20Broad%20St%2C%20Elizabeth%2C%20NJ%2007201%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Camden Apothecary,1205 Haddon Ave,Camden,NJ,8103.0,R,https://www.google.com/maps/dir/?api=1&destination=1205%20Haddon%20Ave%2C%20Camden%2C%20NJ%2008103%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canabhang,24 Marshall Hill Rd,West Milford,NJ,7480.0,R,https://www.google.com/maps/dir/?api=1&destination=24%20Marshall%20Hill%20Rd%2C%20West%20Milford%2C%20NJ%2007480%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canna Bar,58 Main St,Matawan,NJ,7747.0,R,https://www.google.com/maps/dir/?api=1&destination=58%20Main%20St%2C%20Matawan%2C%20NJ%2007747%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canna Remedies,2175 Spruce St,Trenton,NJ,8638.0,R,https://www.google.com/maps/dir/?api=1&destination=2175%20Spruce%20St%2C%20Trenton%2C%20NJ%2008638%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cannabis Clubhouse,70-72 E Main St,Sussex,NJ,7461.0,R,https://www.google.com/maps/dir/?api=1&destination=70-72%20E%20Main%20St%2C%20Sussex%2C%20NJ%2007461%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
CannaBoy Treehouse,57 W South Orange Ave,South Orange Village,NJ,7079.0,R,https://www.google.com/maps/dir/?api=1&destination=57%20W%20South%20Orange%20Ave%2C%20South%20Orange%20Village%2C%20NJ%2007079%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cannavibes,1 US-46,Elmwood Park,NJ,7407.0,R,https://www.google.com/maps/dir/?api=1&destination=1%20US-46%2C%20Elmwood%20Park%2C%20NJ%2007407%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Canopy Crossroad,9 West St,Red Bank,NJ,7701.0,R,https://www.google.com/maps/dir/?api=1&destination=9%20West%20St%2C%20Red%20Bank%2C%20NJ%2007701%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Carry-On Cannabis,2379 S Black Horse Pike,Williamstown,NJ,8094.0,R,https://www.google.com/maps/dir/?api=1&destination=2379%20S%20Black%20Horse%20Pike%2C%20Williamstown%2C%20NJ%2008094%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Casa Verde Wellness,315 US-46,Dover,NJ,7801.0,R,https://www.google.com/maps/dir/?api=1&destination=315%20US-46%2C%20Dover%2C%20NJ%2007801%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Castaway Cannabis,6006 US-130,Delran,NJ,8075.0,R,https://www.google.com/maps/dir/?api=1&destination=6006%20US-130%2C%20Delran%2C%20NJ%2008075%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Central Jersey Dispensary,2 John F Kennedy Blvd,Somerset,NJ,8873.0,R,https://www.google.com/maps/dir/?api=1&destination=2%20John%20F%20Kennedy%20Blvd%2C%20Somerset%2C%20NJ%2008873%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Citi Roots,4585 NJ-27,Kingston,NJ,8528.0,R,https://www.google.com/maps/dir/?api=1&destination=4585%20NJ-27%2C%20Kingston%2C%20NJ%2008528%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
City Leaves,2516 Fire Rd,Egg Harbor Township,NJ,8234.0,R,https://www.google.com/maps/dir/?api=1&destination=2516%20Fire%20Rd%2C%20Egg%20Harbor%20Township%2C%20NJ%2008234%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
CityLeaf Dispensary,519 Broadway,Newark,NJ,7104.0,R,https://www.google.com/maps/dir/?api=1&destination=519%20Broadway%2C%20Newark%2C%20NJ%2007104%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cloud Nine Dispensary,513-27 US-22,North Plainfield,NJ,7060.0,R,https://www.google.com/maps/dir/?api=1&destination=513-27%20US-22%2C%20North%20Plainfield%2C%20NJ%2007060%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Conservatory Cannabis Company,2516 Fire Rd,Egg Harbor Township,NJ,8234.0,R,https://www.google.com/maps/dir/?api=1&destination=2516%20Fire%20Rd%2C%20Egg%20Harbor%20Township%2C%20NJ%2008234%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cookies Harrison,335 Angelo Cifelli Dr,Harrison,NJ,7029.0,R,https://www.google.com/maps/dir/?api=1&destination=335%20Angelo%20Cifelli%20Dr%2C%20Harrison%2C%20NJ%2007029%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cottonmouth Dispensary,10 E Clements Bridge Rd,Runnemede,NJ,8078.0,R,https://www.google.com/maps/dir/?api=1&destination=10%20E%20Clements%20Bridge%20Rd%2C%20Runnemede%2C%20NJ%2008078%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
CREAM Cannabis Dispensary,284 1st St,Jersey City,NJ,7302.0,R,https://www.google.com/maps/dir/?api=1&destination=284%201st%20St%2C%20Jersey%20City%2C%20NJ%2007302%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Cuzzie's,2750 Mt Ephraim Ave,Camden,NJ,8104.0,R,https://www.google.com/maps/dir/?api=1&destination=2750%20Mt%20Ephraim%20Ave%2C%20Camden%2C%20NJ%2008104%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dank Poet Dispensary,245 E Washington Ave,Washington,NJ,7882.0,R,https://www.google.com/maps/dir/?api=1&destination=245%20E%20Washington%20Ave%2C%20Washington%2C%20NJ%2007882%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Daylite Cannabis,1136 NJ-73,Mt Laurel Township,NJ,8054.0,R,https://www.google.com/maps/dir/?api=1&destination=1136%20NJ-73%2C%20Mt%20Laurel%20Township%2C%20NJ%2008054%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dispensary of Somerset,920 Hamilton St,Somerset,NJ,8873.0,R,https://www.google.com/maps/dir/?api=1&destination=920%20Hamilton%20St%2C%20Somerset%2C%20NJ%2008873%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dispensary of Union,1603 US-22,Union,NJ,7083.0,R,https://www.google.com/maps/dir/?api=1&destination=1603%20US-22%2C%20Union%2C%20NJ%2007083%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Dogwood Green,5 Central Ave,West Orange,NJ,7052.0,R,https://www.google.com/maps/dir/?api=1&destination=5%20Central%20Ave%2C%20West%20Orange%2C%20NJ%2007052%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Doobiez,1612 Union Valley Rd,West Milford,NJ,7480.0,R,https://www.google.com/maps/dir/?api=1&destination=1612%20Union%20Valley%20Rd%2C%20West%20Milford%2C%20NJ%2007480%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Earth & Ivy,355 George St,New Brunswick,NJ,8901.0,R,https://www.google.com/maps/dir/?api=1&destination=355%20George%20St%2C%20New%20Brunswick%2C%20NJ%2008901%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Earth & Ivy Lakehurst,29 Union Ave,Lakehurst,NJ,8733.0,R,https://www.google.com/maps/dir/?api=1&destination=29%20Union%20Ave%2C%20Lakehurst%2C%20NJ%2008733%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Elevated by TheCannaBossLady,9 Highland Pl,Maplewood,NJ,7040.0,R,https://www.google.com/maps/dir/?api=1&destination=9%20Highland%20Pl%2C%20Maplewood%2C%20NJ%2007040%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Elevated Herb,1846 NJ-23,West Milford,NJ,7480.0,R,https://www.google.com/maps/dir/?api=1&destination=1846%20NJ-23%2C%20West%20Milford%2C%20NJ%2007480%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Emerald Tea Supply,368b Broad St,Bloomfield,NJ,7003.0,R,https://www.google.com/maps/dir/?api=1&destination=368b%20Broad%20St%2C%20Bloomfield%2C%20NJ%2007003%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Enlighten Dispensary,781 Rte 70 W,Marlton,NJ,8053.0,R,https://www.google.com/maps/dir/?api=1&destination=781%20Rte%2070%20W%2C%20Marlton%2C%20NJ%2008053%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Everest Dispensary,1226 Atlantic Ave,Atlantic City,NJ,8401.0,R,https://www.google.com/maps/dir/?api=1&destination=1226%20Atlantic%20Ave%2C%20Atlantic%20City%2C%20NJ%2008401%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Evergreen Nature's Remedy,1242 NJ-23,Butler,NJ,7405.0,R,https://www.google.com/maps/dir/?api=1&destination=1242%20NJ-23%2C%20Butler%2C%20NJ%2007405%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Evolve Cannabis,186 US-130,Bordentown,NJ,8505.0,R,https://www.google.com/maps/dir/?api=1&destination=186%20US-130%2C%20Bordentown%2C%20NJ%2008505%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Feels of Green,474 US-206,Newton,NJ,7860.0,R,https://www.google.com/maps/dir/?api=1&destination=474%20US-206%2C%20Newton%2C%20NJ%2007860%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Fire and Oak,5 Washington St,Mt Holly,NJ,8060.0,R,https://www.google.com/maps/dir/?api=1&destination=5%20Washington%20St%2C%20Mt%20Holly%2C%20NJ%2008060%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Flower & Flame Dispensary,601 College Dr,Blackwood,NJ,8012.0,R,https://www.google.com/maps/dir/?api=1&destination=601%20College%20Dr%2C%20Blackwood%2C%20NJ%2008012%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
